sample_label,Country,Site,location,EW,SN,latitude,longitude,Sampling_Day,Date,Date_dmy,Monsoon,Rain_1,Rain_2,Rain_3,Rain_4,Rain_5,Rain_6,Rain_7,Height_m,Current,Current_ef,neap_days,spring_days,Chlorophyll_Filtered,Chlorophyll_Unfiltered,Secchi_Depth,Temperature,Salinity,NOx,NO2,NO3,Phosphate,Silicate,NH4,DIN,DIN:PO4,DIN:Si,Si:PO4,Virus/ml,Bacteria/ml,Virus:Bacteria
SBW01,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,1,44139,4/11/20,IM,8.8,24,24,37,37,37,63.8,2.24,0.451267095,Flood,4,4,0.740622715,2.488232135,1.5,28.8,22.7,19.528,10.61,8.768,2.407,25.6,49.84,69.368,28.81927711,2.7096875,10.63564603,4.18E+07,4.77E+06,8.78
SBW02,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,2,44141,6/11/20,IM,0,16.4,25.2,40.4,40.4,53.4,53.4,2.05,0.330759442,Flood,2,6,0.471371315,3.263345467,1.5,30.2,16.7,19.766,9.412,10.215,2.023,25.38,36.05,55.816,27.59070687,2.199211978,12.54572417,6.33E+07,5.48E+06,11.55
SBW03,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,3,44142,7/11/20,IM,0,0,16.4,25.2,40.4,40.4,53.4,2,0.189079072,Flood,1,7,1.263298233,3.584639787,1.65,29.5,25.3,21.942,12.69,8.284,2.037,24.683,24.974,46.916,23.03190967,1.900741401,12.11732941,6.87E+07,4.26E+06,16.14
SBW04,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,4,44144,9/11/20,IM,12.4,62.2,62.2,62.2,78.6,87.4,102.6,2.12,-0.111229754,Ebb,1,6,0.935964694,1.80438233,2,29.9,26.5,28.959,19.49,8.996,2.168,25.844,28.34,57.299,26.42942804,2.217110354,11.92066421,3.72E+07,2.81E+06,13.25
SBW05,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,5,44146,11/11/20,IM,6.8,6.8,19.2,69,69,69,85.4,2.64,-0.287714155,Ebb,3,4,13.24987455,19.42284237,1.5,30.5,25.5,31.675,19.49,12.047,1.467,18.175,15.549,47.224,32.19086571,2.59829436,12.38922972,4.44E+07,4.22E+06,10.52
SBW06,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,6,44148,13/11/20,IM,0,0,6.8,6.8,19.2,69,69,3.4,-0.060246892,Ebb,5,2,17.07506314,37.07353341,1.2,30.8,25,12.424,10.588,1.588,0.289,1.562,1.11,13.534,46.83044983,8.66453265,5.404844291,5.65E+07,3.15E+06,17.93
SBW07,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,7,44151,16/11/20,IM,40.4,52.6,52.6,52.6,52.6,59.4,59.4,3.05,0.408044953,Flood,6,1,5.474275319,5.54780737,1.5,30.6,25.3,16.675,11.51,4.896,0.656,3.527,11.985,28.66,43.68902439,8.125886022,5.37652439,4.80E+07,2.12E+06,22.66
SBW08,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,8,44153,18/11/20,IM,6.4,11.2,51.6,63.8,63.8,63.8,63.8,2.54,0.496118839,Flood,4,3,13.96813592,22.56632962,1,30.3,22.8,25.145,12.86,12.328,0.519,5.777,33.19,58.335,112.3988439,10.09780163,11.13102119,4.31E+07,3.38E+06,12.75
SBW09,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,9,44155,20/11/20,IM,5.2,5.2,11.6,16.4,56.8,69,69,1.96,0.308298684,Flood,2,5,10.46026684,2.786980405,1.5,28.8,23.7,21.4,11.67,9.103,0.658,3.966,12.534,33.934,51.57142857,8.556227937,6.027355623,4.93E+07,4.21E+06,11.72
SBW10,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,10,44156,21/11/20,IM,2.6,7.8,7.8,14.2,19,59.4,71.6,1.81,0.08525034,Flood,1,6,2.107779811,25.95181676,2,30.4,25.7,24.559,14.26,9.377,0.681,2.106,7.705,32.264,47.3773862,15.32003799,3.092511013,4.14E+07,4.40E+06,9.39
