Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Yishun,2020,10,1,     9.6,     5.4,     6.2,     6.2,-,-,-,-,-
Yishun,2020,10,2,     2.0,     2.0,     2.0,     2.0,-,-,-,-,-
Yishun,2020,10,3,    13.8,     7.6,    11.4,    15.0,-,-,-,-,-
Yishun,2020,10,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,10,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,10,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,10,7,     2.4,     1.8,     2.2,     2.4,-,-,-,-,-
Yishun,2020,10,8,     9.8,     2.6,     3.4,     5.0,-,-,-,-,-
Yishun,2020,10,9,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Yishun,2020,10,10,     2.6,     2.0,     2.4,     2.4,-,-,-,-,-
Yishun,2020,10,11,     4.4,     1.6,     2.8,     3.4,-,-,-,-,-
Yishun,2020,10,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,10,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,10,14,    16.8,    14.0,    14.0,    14.0,-,-,-,-,-
Yishun,2020,10,15,     2.8,     1.8,     2.0,     2.6,-,-,-,-,-
Yishun,2020,10,16,     1.8,     1.8,     1.8,     1.8,-,-,-,-,-
Yishun,2020,10,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,10,18,     9.4,     9.4,     9.4,     9.4,-,-,-,-,-
Yishun,2020,10,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,10,20,     4.2,     3.0,     4.2,     4.2,-,-,-,-,-
Yishun,2020,10,21,     0.8,     0.6,     0.6,     0.8,-,-,-,-,-
Yishun,2020,10,22,     7.4,     2.8,     4.0,     5.2,-,-,-,-,-
Yishun,2020,10,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,10,24,     1.0,     0.8,     1.0,     1.0,-,-,-,-,-
Yishun,2020,10,25,     7.2,     6.2,     6.4,     6.6,-,-,-,-,-
Yishun,2020,10,26,     0.6,     0.4,     0.6,     0.6,-,-,-,-,-
Yishun,2020,10,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,10,28,    26.8,    26.2,    26.6,    26.8,-,-,-,-,-
Yishun,2020,10,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,10,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,10,31,    13.0,     5.6,     9.0,     9.4,-,-,-,-,-
